Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Second","A00351",BCD,1,RO,100,,,,,,,,,,"",
"1ST_CHARGE_1.CYCLE_TIME","E01:14532",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.CYCLE_TIME",
"1ST_CHARGE_1.DISCHARGE_PRESSURE","E01:14528",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.DISCHARGE_PRESSURE",
"1ST_CHARGE_1.EMERGENCY_CALL","E01:14414",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL",
"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME_A","E01:14419",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME_B","E01:14420",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME_C","E01:14421",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME_D","E01:14422",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME_A","E01:14415",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME_B","E01:14416",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME_C","E01:14417",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME_D","E01:14418",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_A","E01:14402",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
"1ST_CHARGE_1.EQUIPMENT_CALL_B","E01:14403",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
"1ST_CHARGE_1.EQUIPMENT_CALL_C","E01:14404",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
"1ST_CHARGE_1.EQUIPMENT_CALL_D","E01:14405",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME_A","E01:14410",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME_B","E01:14411",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME_C","E01:14412",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME_D","E01:14413",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME_A","E01:14406",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME_B","E01:14407",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME_C","E01:14408",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME_D","E01:14409",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_1.EQUIPMENT_RUNNING","E01:14432",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_RUNNING",
"1ST_CHARGE_1.EQUIPMENT_RUNNING_END_TIME_A","E01:14437",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_RUNNING_END_TIME",
"1ST_CHARGE_1.EQUIPMENT_RUNNING_END_TIME_B","E01:14438",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_RUNNING_END_TIME",
