Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Equipment_Status_Bit","R00050",Short,1,R/W,100,,,,,,,,,,"",
"PHS_PLC_Heartbeat","R00001",Short,1,R/W,100,,,,,,,,,,"",
"PLC_PHS_Heartbeat","R00000",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.1PS1_Voltage_Lowering_Error","R00058.15",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.1PS1_Voltage_Lowering_ErrorB","R00071.07",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.1PS1_Voltage_Lowering_ErrorC","R00080.13",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A1_Estop","R00051.01",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A1_Lift_Movement_Error","R00055.12",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A1_Motor_Driver_Error","R00052.00",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-1_Estop","R00051.02",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-1_Motor_driver_Error","R00052.01",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-1_Stopper_Movement_Error","R00055.13",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-2_Estop","R00051.12",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-2_Motor_Driver_Error","R00052.02",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-2_PHS_Comunication_Error","R00059.03",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-2_Stopper_Movement_Error","R00056.07",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-3_Motor_Driver_Error","R00052.03",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-3_Stopper_Movement_Error","R00055.14",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2-4_Motor_Driver_Error","R00052.04",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D_Motor_OverLoad","R00052.05",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-1_PHS_Error","R00059.04",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-1_PHSCommunication_Error","R00058.11",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-1_PLC_WriteOK_Timeout","R00058.10",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-1_RFID_Read_Error","R00058.07",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-1_RFID_Write_Error","R00058.09",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-1_Stopper_Movement_Error","R00055.15",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-2_Stopper_Movement_Error","R00056.00",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A2D-3_Stopper_Movement_Error","R00056.01",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A3_INV_Error","R00053.07",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A3-1_Estop","R00051.03",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A3-2_Estop","R00051.13",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A3D_Motor_OverLoad","R00052.06",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A4_INV_Error","R00053.08",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A4-1_Estop","R00051.04",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A4-2_Estop","R00051.14",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.A4D_Motor_OverLoad","R00052.07",Boolean,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.Azone_PHS_HeartBeat_error","R00059.02",Short,1,R/W,100,,,,,,,,,,"",
