Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Equipment_Status_Bit","R00050",Short,1,R/W,100,,,,,,,,,,"",
"PHS_PLC_Heartbeat","R00001",Short,1,R/W,100,,,,,,,,,,"",
"PLC_PHS_Heartbeat","R00000",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError1","R00052",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError2","R00053",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError3","R00054",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError4","R00055",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError5","R00056",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError6","R00057",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError7","R00058",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDError8","R00059",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorDEstop","R00051",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError1","R00062",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError10","R00071",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError2","R00063",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError3","R00064",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError4","R00065",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError5","R00066",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError6","R00067",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError7","R00068",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError8","R00069",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEError9","R00070",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorEEstop","R00061",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorFError1","R00073",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorFError2","R00074",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorFError3","R00075",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorFError4","R00076",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorFError5","R00077",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.ConveyorFEstop","R00072",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.Kaishi_Full_Unit","R00085.02",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall1","R00081.00",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall2","R00081.01",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall3","R00081.02",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall4","R00081.03",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall5","R00081.04",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall6","R00081.05",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall7","R00081.06",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KanseiCall8","R00081.07",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KensoFullUnit","R00085.07",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.KitBoxMatching_NG","R00085.06",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.LineIn2Error","R00085.03",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.LineOut2Backup","R00085.04",Short,1,R/W,100,,,,,,,,,,"",
"Alarm&Call.LineOut3Backup","R00085.05",Short,1,R/W,100,,,,,,,,,,"",
