tag_name,address
Compressor_UnitInfo_Revision,R<String2>867
Compressor_UnitInfo_SerialNo,R<String10>876
PHS_PLC_Heartbeat,R<Int16>1
Compressor_UnitInfo_ModelName,R<String10>857
RECIPE_RESPONSE/Compressor_Recipe_LocatorYPosition,R<Int16>1053
RECIPE_RESPONSE/Compressor_Recipe_Diameter,R<Int32>1055
RECIPE_RESPONSE/Compressor_Recipe_Weight,R<Int32>1056
RECIPE_RESPONSE/Compressor_Recipe_RobotSetDownPR1,R<Int32>1059
RECIPE_RESPONSE/Compressor_Recipe_Height,R<Int32>1054
RECIPE_RESPONSE/Compressor_GetRecipe_PHSOK,R<Int16>821
RECIPE_RESPONSE/Compressor_Recipe_ReceipeNumber,R<Int32>1038
RECIPE_RESPONSE/Compressor_Recipe_PayloadNumber,R<Int32>1057
RECIPE_RESPONSE/Compressor_GetRecipe_Message,R<String30>823
RECIPE_RESPONSE/Compressor_Recipe_UnitType,R<String10>1039
RECIPE_RESPONSE/Compressor_Recipe_RobotPickupPR0,R<Int32>1058
RECIPE_RESPONSE/Compressor_GetRecipe_ReturnCode,R<Int16>822
RECIPE_RESPONSE/Compressor_Recipe_LocatorXPosition,R<Int16>1052
RECIPE_RESPONSE/Compressor_Recipe_BasePanModelNumber,R<String16>1044
Compressor_RequestGetRecipe,R<Int16>802
Compressor_RequestOKToTest,R<Int16>801
PARTS_MATCH_RESPONSE/Compressor_IsOKToTest_Message,R<String30>806
PARTS_MATCH_RESPONSE/Compressor_IsOKToTest_PHSOK,R<Int16>804
PARTS_MATCH_RESPONSE/Compressor_IsOKToTest_ReturnCode,R<Int16>805
Compressor_ConfirmData,R<Int16>800
RESULTS/Compressor_IsOKToTest_ReturnCode,R<Int16>805
RESULTS/Compressor_IsOKToTest_Message,R<String30>806
RESULTS/Compressor_IsOKToTest_PHSOK,R<Int16>804
RESULTS/Grommet_TestResult_CycleTime,R<String2>562
RESULTS/Compressor_TestResult_ProcessingResult,R<String2>959
RESULTS/Compressor_TestResult_NGCode,R<String4>960
PARTBARCODE1,R<String40>949
kepware/Compressor_6PM_MachineFinishTime,R<Int32[6]>917
kepware/Compressor_6PM_MachineStartTime,R<Int32[6]>899
kepware/Compressor_6PM_OpeartionFinishTime,R<Int32[6]>911
kepware/Compressor_6PM_OpeartionStartTime,R<Int32[6]>905
kepware/Compressor_6PM_WorkPieceArrivalTime,R<Int32[6]>893
kepware/Compressor_6PM_WorkPieceReleaseTime,R<Int32[6]>923
kepware/Compressor_Recipe_CompressorPartNumber,R<String8>1030
kepware/Compressor_TestResult_CycleTime,R<String2>962
kepware/Compressor_UnitInfo_CallSign,R<String2>855
kepware/Compressor_UnitInfo_WO,R<String8>868
kepware/CompressorPartNumber,R<String20>929
kepware/CompressorSerialNumber,R<String20>939
kepware/Equipment_Status_Bit,R<Int16>50
kepware/Grommet_6PM_MachineFinishTime,R<Int32[6]>517
kepware/Grommet_6PM_MachineStartTime,R<Int32[6]>499
kepware/Grommet_6PM_OpeartionFinishTime,R<Int32[6]>511
kepware/Grommet_6PM_OpeartionStartTime,R<Int32[6]>505
kepware/Grommet_6PM_WorkPieceArrivalTime,R<Int32[6]>493
kepware/Grommet_6PM_WorkPieceReleaseTime,R<Int32[6]>523
kepware/Grommet_GetRecipe_Message,R<String30>423
kepware/Grommet_GetRecipe_PHSOK,R<Int16>421
kepware/Grommet_GetRecipe_ReturnCode,R<Int16>422
kepware/Grommet_Recipe_BasepanModelNumber,R<String16>644
kepware/Grommet_Recipe_Diameter,R<Int16>655
kepware/Grommet_Recipe_GrommetPartNumber,R<String8>630
kepware/Grommet_Recipe_Height,R<Int16>654
kepware/Grommet_Recipe_LocatorXPosition,R<Int16>652
kepware/Grommet_Recipe_LocatorYPosition,R<Int16>653
kepware/Grommet_Recipe_PayloadNumber,R<Int16>657
kepware/Grommet_Recipe_ReceipeNumber,R<Int16>638
kepware/Grommet_Recipe_RobotPickupPR0,R<Int16>658
kepware/Grommet_Recipe_RobotSetDownPR1,R<Int16>659
kepware/Grommet_Recipe_RobotSetDownPR2,R<Int16>660
kepware/Grommet_Recipe_RobotSetDownPR3,R<Int16>661
kepware/Grommet_Recipe_UnitType,R<String10>639
kepware/Grommet_Recipe_Weight,R<Int16>656
kepware/Grommet_RequestGetRecipe,R<Int16>402
kepware/Grommet_TestResult_NGCode,R<String4>560
kepware/Grommet_TestResult_ProcessingResult,R<String2>559
kepware/Grommet_UnitInfo_CallSign,R<String2>455
kepware/Grommet_UnitInfo_ModelName,R<String10>457
kepware/Grommet_UnitInfo_Revision,R<String2>467
kepware/Grommet_UnitInfo_SerialNo,R<String10>476
kepware/Grommet_UnitInfo_WO,R<String8>468
kepware/PARTBARCODE,R<String40>929
kepware/PLC_PHS_Heartbeat,R<Int16>0
kepware/AlarmCall/Base_PanSACall1,R<Int16>365
kepware/AlarmCall/Base_PanSACall2,R<Int16[1]>365
kepware/AlarmCall/Base_PanSACall3,R<Int16[2]>365
kepware/AlarmCall/Base_PanSACall4,R<Int16[3]>365
kepware/AlarmCall/Base_PanSACall5,R<Int16[4]>365
kepware/AlarmCall/Base_PanSACall6,R<Int16[5]>365
kepware/AlarmCall/Base_PanSACall7,R<Int16[6]>365
kepware/AlarmCall/Base_PanSACall8,R<Int16[7]>365
kepware/AlarmCall/M7000,M<Bool>7000
kepware/AlarmCall/M7001,M<Bool>7001
kepware/AlarmCall/M7002,M<Bool>7002
kepware/AlarmCall/M7003,M<Bool>7003
kepware/AlarmCall/M7004,M<Bool>7004
kepware/AlarmCall/M7005,M<Bool>7005
kepware/AlarmCall/M7006,M<Bool>7006
kepware/AlarmCall/M7007,M<Bool>7007
kepware/AlarmCall/M7016,M<Bool>7016
kepware/AlarmCall/M7017,M<Bool>7017
kepware/AlarmCall/M7018,M<Bool>7018
kepware/AlarmCall/M7019,M<Bool>7019
kepware/AlarmCall/M7024,M<Bool>7024
kepware/AlarmCall/M7025,M<Bool>7025
kepware/AlarmCall/M7026,M<Bool>7026
kepware/AlarmCall/M7031,M<Bool>7031
kepware/AlarmCall/M7032,M<Bool>7032
kepware/AlarmCall/M7033,M<Bool>7033
kepware/AlarmCall/M7034,M<Bool>7034
kepware/AlarmCall/M7035,M<Bool>7035
kepware/AlarmCall/M7040,M<Bool>7040
kepware/AlarmCall/M7041,M<Bool>7041
kepware/AlarmCall/M7042,M<Bool>7042
kepware/AlarmCall/M7048,M<Bool>7048
kepware/AlarmCall/M7049,M<Bool>7049
kepware/AlarmCall/M7050,M<Bool>7050
kepware/AlarmCall/M7051,M<Bool>7051
kepware/AlarmCall/M7052,M<Bool>7052
kepware/AlarmCall/M7053,M<Bool>7053
kepware/AlarmCall/M7054,M<Bool>7054
kepware/AlarmCall/M7055,M<Bool>7055
kepware/AlarmCall/M7056,M<Bool>7056
kepware/AlarmCall/M7064,M<Bool>7064
kepware/AlarmCall/M7068,M<Bool>7068
kepware/AlarmCall/M7069,M<Bool>7069
kepware/AlarmCall/M7070,M<Bool>7070
kepware/AlarmCall/M7071,M<Bool>7071
kepware/AlarmCall/M7072,M<Bool>7072
kepware/AlarmCall/M7073,M<Bool>7073
kepware/AlarmCall/M7080,M<Bool>7080
kepware/AlarmCall/M7081,M<Bool>7081
kepware/AlarmCall/M7082,M<Bool>7082
kepware/AlarmCall/M7083,M<Bool>7083
kepware/AlarmCall/M7084,M<Bool>7084
kepware/AlarmCall/M7085,M<Bool>7085
kepware/AlarmCall/M7086,M<Bool>7086
kepware/AlarmCall/M7087,M<Bool>7087
kepware/AlarmCall/M7088,M<Bool>7088
kepware/AlarmCall/M7089,M<Bool>7089
kepware/AlarmCall/M7090,M<Bool>7090
kepware/AlarmCall/M7091,M<Bool>7091
kepware/AlarmCall/M7112,M<Bool>7112
kepware/AlarmCall/M7113,M<Bool>7113
kepware/AlarmCall/M7120,M<Bool>7120
kepware/AlarmCall/M7121,M<Bool>7121
kepware/AlarmCall/M7122,M<Bool>7122
kepware/AlarmCall/M7123,M<Bool>7123
kepware/AlarmCall/M7124,M<Bool>7124
kepware/AlarmCall/M7125,M<Bool>7125
kepware/AlarmCall/M7128,M<Bool>7128
kepware/AlarmCall/M7129,M<Bool>7129
kepware/AlarmCall/M7130,M<Bool>7130
kepware/AlarmCall/M7131,M<Bool>7131
kepware/AlarmCall/M7132,M<Bool>7132
kepware/AlarmCall/M7133,M<Bool>7133
kepware/AlarmCall/M7134,M<Bool>7134
kepware/AlarmCall/M7135,M<Bool>7135
kepware/AlarmCall/M7136,M<Bool>7136
kepware/AlarmCall/M7144,M<Bool>7144
kepware/AlarmCall/M7145,M<Bool>7145
kepware/AlarmCall/M7146,M<Bool>7146
kepware/AlarmCall/M7147,M<Bool>7147
kepware/AlarmCall/M7148,M<Bool>7148
kepware/AlarmCall/M7149,M<Bool>7149
kepware/AlarmCall/M7150,M<Bool>7150
kepware/AlarmCall/M7151,M<Bool>7151
kepware/AlarmCall/M7152,M<Bool>7152
kepware/AlarmCall/M7153,M<Bool>7153
kepware/AlarmCall/M7154,M<Bool>7154
kepware/AlarmCall/M7155,M<Bool>7155
kepware/AlarmCall/M7156,M<Bool>7156
kepware/AlarmCall/M7157,M<Bool>7157
kepware/AlarmCall/M7158,M<Bool>7158
kepware/AlarmCall/M7159,M<Bool>7159
kepware/AlarmCall/M7160,M<Bool>7160
kepware/AlarmCall/M7161,M<Bool>7161
kepware/AlarmCall/M7162,M<Bool>7162
kepware/AlarmCall/M7163,M<Bool>7163
kepware/AlarmCall/M7164,M<Bool>7164
kepware/AlarmCall/M7165,M<Bool>7165
kepware/AlarmCall/M7168,M<Bool>7168
kepware/AlarmCall/M7169,M<Bool>7169
kepware/AlarmCall/M7176,M<Bool>7176
kepware/AlarmCall/M7177,M<Bool>7177
kepware/AlarmCall/M7184,M<Bool>7184
kepware/AlarmCall/M7185,M<Bool>7185
kepware/AlarmCall/M7186,M<Bool>7186
kepware/AlarmCall/M7187,M<Bool>7187
kepware/AlarmCall/M7188,M<Bool>7188
kepware/AlarmCall/M7189,M<Bool>7189
kepware/AlarmCall/M7192,M<Bool>7192
kepware/AlarmCall/M7193,M<Bool>7193
kepware/AlarmCall/M7194,M<Bool>7194
kepware/AlarmCall/M7195,M<Bool>7195
kepware/AlarmCall/M7196,M<Bool>7196
kepware/AlarmCall/M7197,M<Bool>7197
kepware/AlarmCall/M7198,M<Bool>7198
kepware/AlarmCall/M7199,M<Bool>7199
kepware/AlarmCall/M7200,M<Bool>7200
kepware/AlarmCall/M7201,M<Bool>7201
kepware/AlarmCall/M7208,M<Bool>7208
kepware/AlarmCall/M7209,M<Bool>7209
kepware/AlarmCall/M7210,M<Bool>7210
kepware/AlarmCall/M7211,M<Bool>7211
kepware/AlarmCall/M7212,M<Bool>7212
kepware/AlarmCall/M7213,M<Bool>7213
kepware/AlarmCall/M7214,M<Bool>7214
kepware/AlarmCall/M7215,M<Bool>7215
kepware/AlarmCall/M7216,M<Bool>7216
kepware/AlarmCall/M7217,M<Bool>7217
kepware/AlarmCall/M7218,M<Bool>7218
kepware/AlarmCall/M7240,M<Bool>7240
kepware/AlarmCall/M7241,M<Bool>7241
kepware/AlarmCall/M7242,M<Bool>7242
kepware/AlarmCall/M7244,M<Bool>7244
kepware/AlarmCall/M7245,M<Bool>7245
kepware/AlarmCall/M7248,M<Bool>7248
kepware/AlarmCall/M7249,M<Bool>7249
kepware/AlarmCall/M7250,M<Bool>7250
kepware/AlarmCall/M7256,M<Bool>7256
kepware/AlarmCall/M7272,M<Bool>7272
kepware/AlarmCall/M7276,M<Bool>7276
kepware/AlarmCall/M7277,M<Bool>7277
kepware/AlarmCall/SABasepanCompressorCVPBRun,Y<Bool>18C4
kepware/AlarmCall/SABasepanGrometCVPBRun,Y<Bool>18C3
kepware/AlarmCall/SABasepanMainCVPBRun,Y<Bool>18C2
kepware/AlarmCall/SABasepanMainCVRun,Y<Bool>18C1
